"Ano";"Localidade";"Índice de Desenvolvimento Humano Municipal (IDHM) ";"Produto Interno Bruto (PIB) per Capita (R$ 1,00)";"Crimes de Ameaça ";"Crimes de Estelionato ";"Crimes de Estupro ";"Crimes de Furto ";"Crimes de Lesão Corporal ";"Crimes de Roubo ";"Furtos de Veículos ";"Ocorrências Envolvendo Tráfico de Drogas ";"Ocorrências Envolvendo Uso/Consumo de Drogas ";"Perturbação do Sossego/Tranquilidade ";"Roubos de Veículos "
"2018";"Estado do Paraná";"";"38.773";"110.917";"29.856";"6.691";"172.033";"64.417";"60.096";"17.678";"11.869";"16.172";"28.994";"7.885"
"2018";"Abatiá";"";"21.529";"101";"3";"5";"88";"58";"20";"4";"5";"11";"28";"4"
"2018";"Adrianópolis";"";"43.677";"43";"13";"9";"31";"32";"2";"2";"1";"3";"3";"-"
"2018";"Agudos do Sul";"";"22.088";"105";"12";"5";"100";"52";"19";"5";"5";"4";"8";"6"
"2018";"Almirante Tamandaré";"";"13.168";"1.151";"174";"68";"1.129";"660";"639";"176";"44";"81";"157";"44"
"2018";"Altamira do Paraná";"";"33.206";"34";"5";"2";"25";"22";"1";"2";"-";"-";"10";"-"
"2018";"Alto Paraíso";"";"34.432";"29";"6";"3";"22";"26";"1";"1";"12";"1";"8";"-"
"2018";"Alto Paraná";"";"22.431";"173";"38";"17";"160";"111";"40";"17";"14";"11";"28";"1"
"2018";"Alto Piquiri";"";"30.900";"90";"15";"10";"71";"46";"5";"7";"10";"10";"18";"3"
"2018";"Altônia";"";"17.247";"159";"24";"8";"169";"81";"6";"7";"14";"5";"33";"2"
"2018";"Alvorada do Sul";"";"23.482";"56";"9";"4";"145";"27";"17";"9";"4";"3";"7";"5"
"2018";"Amaporã";"";"25.692";"69";"1";"2";"71";"22";"5";"1";"3";"3";"8";"1"
"2018";"Ampére";"";"31.923";"299";"27";"7";"203";"155";"14";"20";"10";"15";"43";"2"
"2018";"Anahy";"";"30.290";"19";"-";"-";"20";"15";"4";"4";"2";"5";"8";"-"
"2018";"Andirá";"";"37.116";"287";"65";"31";"226";"122";"49";"14";"110";"24";"65";"5"
"2018";"Ângulo";"";"38.938";"21";"5";"2";"37";"18";"1";"3";"2";"2";"3";"-"
"2018";"Antonina";"";"28.313";"245";"31";"10";"458";"170";"71";"10";"35";"145";"120";"1"
"2018";"Antônio Olinto";"";"25.293";"65";"10";"3";"47";"50";"4";"3";"-";"2";"12";"1"
"2018";"Apucarana";"";"23.315";"1.498";"70";"59";"2.238";"744";"458";"176";"279";"330";"370";"47"
"2018";"Arapongas";"";"35.440";"864";"286";"36";"1.442";"483";"355";"223";"148";"372";"102";"33"
"2018";"Arapoti";"";"41.059";"316";"31";"15";"379";"180";"113";"39";"19";"13";"96";"7"
"2018";"Arapuã";"";"33.899";"27";"3";"-";"23";"5";"4";"1";"-";"-";"2";"1"
"2018";"Araruna";"";"32.537";"77";"4";"3";"159";"74";"19";"13";"5";"8";"19";"7"
"2018";"Araucária";"";"116.022";"1.165";"329";"129";"1.637";"689";"923";"144";"65";"184";"316";"124"
"2018";"Ariranha do Ivaí";"";"41.179";"20";"2";"-";"13";"5";"6";"-";"-";"1";"6";"1"
"2018";"Assaí";"";"25.939";"145";"39";"8";"169";"70";"25";"9";"21";"49";"58";"3"
"2018";"Assis Chateaubriand";"";"36.800";"390";"68";"19";"603";"189";"87";"49";"40";"39";"50";"43"
"2018";"Astorga";"";"29.142";"216";"77";"15";"275";"135";"40";"21";"36";"34";"51";"16"
"2018";"Atalaia";"";"35.008";"22";"4";"1";"43";"23";"6";"4";"1";"5";"8";"5"
"2018";"Balsa Nova";"";"53.916";"142";"8";"7";"165";"79";"101";"4";"17";"6";"19";"23"
"2018";"Bandeirantes";"";"24.858";"302";"80";"12";"596";"197";"46";"32";"88";"9";"116";"6"
"2018";"Barbosa Ferraz";"";"17.993";"131";"13";"7";"125";"56";"7";"5";"8";"3";"10";"2"
"2018";"Barra do Jacaré";"";"33.016";"15";"1";"1";"20";"11";"8";"2";"2";"2";"2";"7"
"2018";"Barracão";"";"24.066";"189";"31";"22";"158";"107";"11";"13";"3";"11";"35";"6"
"2018";"Bela Vista da Caroba";"";"20.125";"32";"8";"2";"24";"5";"-";"1";"1";"2";"15";"-"
"2018";"Bela Vista do Paraíso";"";"29.496";"124";"33";"6";"196";"92";"45";"9";"18";"9";"12";"17"
"2018";"Bituruna";"";"22.966";"126";"15";"8";"175";"78";"15";"9";"5";"7";"12";"1"
"2018";"Boa Esperança";"";"48.709";"38";"6";"4";"39";"15";"10";"2";"2";"6";"7";"2"
"2018";"Boa Esperança do Iguaçu";"";"36.931";"44";"3";"2";"23";"12";"-";"5";"-";"-";"12";"-"
"2018";"Boa Ventura de São Roque";"";"36.480";"45";"2";"7";"41";"34";"1";"3";"1";"2";"5";"-"
"2018";"Boa Vista da Aparecida";"";"18.346";"39";"13";"6";"100";"29";"6";"11";"1";"28";"5";"2"
"2018";"Bocaiúva do Sul";"";"15.506";"153";"27";"13";"148";"79";"57";"8";"3";"1";"74";"11"
"2018";"Bom Jesus do Sul";"";"20.289";"38";"2";"-";"28";"28";"1";"2";"1";"1";"7";"-"
"2018";"Bom Sucesso";"";"16.424";"74";"4";"4";"89";"41";"17";"9";"9";"15";"10";"4"
"2018";"Bom Sucesso do Sul";"";"62.892";"43";"7";"-";"33";"17";"1";"3";"-";"1";"4";"-"
"2018";"Borrazópolis";"";"31.390";"115";"3";"6";"128";"74";"4";"6";"2";"6";"8";"-"
"2018";"Braganey";"";"31.363";"63";"4";"5";"42";"32";"3";"2";"1";"12";"15";"-"
"2018";"Brasilândia do Sul";"";"70.768";"39";"5";"3";"30";"26";"8";"-";"-";"2";"7";"6"
"2018";"Cafeara";"";"23.156";"17";"3";"1";"25";"6";"6";"2";"1";"1";"-";"2"
"2018";"Cafelândia";"";"77.663";"115";"21";"10";"201";"79";"19";"38";"5";"17";"6";"2"
"2018";"Cafezal do Sul";"";"25.338";"17";"5";"2";"33";"5";"2";"5";"4";"1";"1";"-"
"2018";"Califórnia";"";"20.864";"71";"8";"6";"149";"44";"15";"13";"6";"13";"9";"4"
"2018";"Cambará";"";"28.586";"289";"34";"8";"386";"157";"50";"23";"50";"31";"216";"8"
"2018";"Cambé";"";"36.312";"880";"445";"37";"1.104";"365";"381";"170";"161";"90";"163";"55"
"2018";"Cambira";"";"21.999";"80";"10";"-";"88";"54";"7";"10";"16";"4";"18";"1"
"2018";"Campina da Lagoa";"";"28.823";"167";"24";"24";"165";"105";"11";"5";"17";"4";"16";"1"
"2018";"Campina do Simão";"";"24.118";"32";"4";"5";"45";"22";"5";"1";"1";"1";"2";"1"
"2018";"Campina Grande do Sul";"";"36.518";"365";"86";"23";"414";"204";"289";"37";"44";"50";"63";"57"
"2018";"Campo Bonito";"";"42.442";"38";"2";"2";"31";"15";"1";"3";"-";"4";"3";"-"
"2018";"Campo do Tenente";"";"25.837";"58";"3";"4";"136";"30";"14";"14";"2";"5";"7";"5"
"2018";"Campo Largo";"";"33.305";"1.634";"391";"69";"1.621";"796";"671";"138";"93";"142";"557";"112"
"2018";"Campo Magro";"";"14.645";"275";"47";"21";"226";"169";"60";"8";"7";"10";"43";"16"
"2018";"Campo Mourão";"";"41.535";"856";"187";"46";"1.622";"558";"277";"198";"88";"134";"137";"21"
"2018";"Cândido de Abreu";"";"20.862";"83";"19";"5";"99";"60";"16";"8";"6";"5";"11";"1"
"2018";"Candói";"";"32.013";"122";"24";"16";"121";"85";"30";"6";"1";"3";"19";"9"
"2018";"Cantagalo";"";"19.379";"82";"13";"7";"130";"58";"15";"9";"5";"9";"6";"3"
"2018";"Capanema";"";"32.452";"272";"21";"10";"235";"144";"13";"11";"15";"24";"101";"2"
"2018";"Capitão Leônidas Marques";"";"74.162";"122";"21";"6";"145";"70";"19";"12";"17";"41";"20";"3"
"2018";"Carambeí";"";"56.774";"193";"43";"16";"201";"123";"76";"10";"11";"12";"46";"9"
"2018";"Carlópolis";"";"23.990";"258";"31";"6";"225";"137";"39";"24";"24";"41";"95";"6"
"2018";"Cascavel";"";"37.732";"3.700";"1.287";"197";"5.362";"2.265";"959";"754";"451";"1.161";"961";"93"
"2018";"Castro";"";"39.627";"718";"121";"30";"841";"427";"240";"50";"44";"54";"110";"17"
"2018";"Catanduvas";"";"26.803";"96";"19";"14";"95";"58";"10";"8";"4";"11";"5";"2"
"2018";"Centenário do Sul";"";"20.943";"99";"13";"13";"118";"60";"18";"10";"8";"6";"12";"10"
"2018";"Cerro Azul";"";"17.862";"165";"13";"19";"186";"105";"31";"29";"7";"22";"27";"1"
"2018";"Céu Azul";"";"54.749";"88";"24";"8";"134";"52";"9";"5";"38";"14";"27";"6"
"2018";"Chopinzinho";"";"34.096";"270";"32";"28";"192";"98";"22";"21";"7";"21";"28";"4"
"2018";"Cianorte";"";"32.663";"563";"174";"54";"988";"310";"218";"137";"100";"80";"135";"50"
"2018";"Cidade Gaúcha";"";"33.164";"116";"17";"5";"127";"104";"14";"13";"15";"12";"21";"1"
"2018";"Clevelândia";"";"27.936";"243";"31";"10";"295";"165";"29";"40";"12";"7";"34";"8"
"2018";"Colombo";"";"21.682";"2.634";"539";"135";"2.289";"1.458";"1.980";"345";"220";"445";"483";"233"
"2018";"Colorado";"";"25.898";"183";"34";"12";"329";"115";"28";"27";"38";"11";"31";"9"
"2018";"Congonhinhas";"";"23.435";"81";"14";"8";"130";"54";"10";"9";"15";"9";"18";"2"
"2018";"Conselheiro Mairinck";"";"24.756";"56";"9";"1";"53";"49";"3";"3";"-";"4";"90";"-"
"2018";"Contenda";"";"21.848";"69";"17";"2";"224";"51";"27";"10";"5";"17";"7";"8"
"2018";"Corbélia";"";"35.814";"205";"45";"13";"189";"106";"17";"15";"20";"77";"57";"3"
"2018";"Cornélio Procópio";"";"32.330";"480";"146";"15";"531";"222";"28";"25";"67";"83";"169";"3"
"2018";"Coronel Domingos Soares";"";"26.206";"66";"4";"10";"60";"27";"4";"2";"-";"-";"7";"2"
"2018";"Coronel Vivida";"";"32.848";"289";"47";"14";"239";"158";"16";"15";"12";"49";"52";"-"
"2018";"Corumbataí do Sul";"";"19.915";"28";"6";"1";"64";"20";"1";"9";"-";"1";"4";"-"
"2018";"Cruz Machado";"";"19.721";"159";"10";"4";"106";"113";"17";"9";"1";"2";"13";"4"
"2018";"Cruzeiro do Iguaçu";"";"26.772";"76";"4";"6";"58";"28";"4";"7";"2";"5";"5";"1"
"2018";"Cruzeiro do Oeste";"";"39.672";"307";"51";"16";"399";"229";"28";"28";"82";"156";"80";"3"
"2018";"Cruzeiro do Sul";"";"41.283";"45";"14";"7";"60";"26";"4";"2";"6";"4";"7";"1"
"2018";"Cruzmaltina";"";"37.983";"25";"1";"2";"44";"9";"3";"5";"1";"4";"1";"1"
"2018";"Curitiba";"";"45.458";"16.028";"8.716";"875";"43.886";"7.968";"25.397";"4.872";"1.570";"3.530";"5.178";"2.853"
"2018";"Curiúva";"";"15.485";"148";"10";"12";"156";"93";"32";"22";"13";"14";"32";"4"
"2018";"Diamante do Norte";"";"67.956";"27";"2";"2";"61";"28";"15";"1";"2";"5";"5";"6"
"2018";"Diamante do Sul";"";"15.629";"25";"2";"2";"29";"15";"-";"2";"-";"-";"3";"-"
"2018";"Diamante D'Oeste";"";"19.086";"17";"6";"1";"36";"16";"4";"7";"2";"2";"6";"1"
"2018";"Dois Vizinhos";"";"39.449";"608";"90";"38";"596";"288";"55";"43";"22";"83";"223";"7"
"2018";"Douradina";"";"68.678";"73";"14";"7";"73";"61";"2";"9";"4";"6";"12";"1"
"2018";"Doutor Camargo";"";"25.887";"52";"6";"4";"71";"24";"4";"5";"5";"3";"10";"1"
"2018";"Doutor Ulysses";"";"11.112";"25";"3";"3";"31";"9";"-";"3";"-";"1";"1";"-"
"2018";"Enéas Marques";"";"36.863";"68";"9";"1";"54";"35";"5";"10";"2";"5";"14";"2"
"2018";"Engenheiro Beltrão";"";"40.214";"119";"37";"6";"150";"68";"23";"8";"25";"31";"17";"2"
"2018";"Entre Rios do Oeste";"";"50.896";"35";"5";"3";"44";"18";"1";"2";"1";"-";"9";"-"
"2018";"Esperança Nova";"";"28.548";"17";"1";"-";"14";"12";"3";"1";"-";"-";"1";"1"
"2018";"Espigão Alto do Iguaçu";"";"27.410";"47";"1";"4";"49";"15";"5";"2";"-";"-";"4";"2"
"2018";"Farol";"";"50.250";"24";"5";"3";"28";"12";"5";"3";"-";"1";"1";"1"
"2018";"Faxinal";"";"24.753";"198";"42";"10";"344";"137";"52";"22";"23";"20";"23";"12"
"2018";"Fazenda Rio Grande";"";"25.607";"1.448";"289";"77";"1.443";"768";"942";"106";"103";"109";"170";"78"
"2018";"Fênix";"";"31.282";"23";"3";"-";"50";"27";"2";"4";"3";"7";"3";"2"
"2018";"Fernandes Pinheiro";"";"31.215";"66";"3";"6";"31";"33";"7";"-";"1";"-";"14";"1"
"2018";"Figueira";"";"19.071";"78";"7";"6";"80";"57";"8";"4";"2";"2";"16";"2"
"2018";"Flor da Serra do Sul";"";"26.834";"59";"8";"5";"53";"29";"-";"-";"-";"5";"21";"-"
"2018";"Floraí";"";"35.609";"40";"3";"4";"40";"20";"8";"3";"8";"9";"2";"5"
"2018";"Floresta";"";"30.947";"47";"11";"7";"39";"48";"2";"6";"8";"7";"4";"-"
"2018";"Florestópolis";"";"23.370";"72";"20";"4";"122";"42";"21";"5";"16";"7";"20";"1"
"2018";"Flórida";"";"22.595";"21";"2";"1";"28";"16";"5";"4";"-";"-";"3";"1"
"2018";"Formosa do Oeste";"";"39.964";"69";"6";"3";"66";"26";"4";"8";"6";"7";"12";"-"
"2018";"Foz do Iguaçu";"";"56.702";"3.404";"764";"156";"4.480";"2.165";"1.930";"763";"279";"313";"1.988";"281"
"2018";"Foz do Jordão";"";"25.852";"68";"4";"3";"89";"46";"2";"2";"3";"5";"23";"-"
"2018";"Francisco Alves";"";"32.120";"62";"1";"3";"62";"49";"35";"8";"4";"4";"7";"29"
"2018";"Francisco Beltrão";"";"35.460";"1.341";"255";"59";"1.181";"712";"107";"111";"109";"113";"442";"12"
"2018";"General Carneiro";"";"20.914";"132";"11";"10";"218";"108";"26";"5";"8";"10";"13";"5"
"2018";"Godoy Moreira";"";"17.342";"15";"2";"-";"14";"17";"-";"-";"-";"1";"-";"-"
"2018";"Goioerê";"";"31.176";"301";"86";"13";"419";"217";"93";"24";"45";"50";"54";"32"
"2018";"Goioxim";"";"25.270";"42";"1";"5";"48";"13";"4";"1";"1";"-";"3";"-"
"2018";"Grandes Rios";"";"21.100";"44";"6";"7";"73";"25";"8";"5";"3";"7";"6";"3"
"2018";"Guaíra";"";"28.449";"299";"78";"27";"479";"225";"141";"114";"119";"61";"29";"52"
"2018";"Guairaçá";"";"34.669";"45";"1";"3";"90";"33";"25";"9";"4";"5";"8";"4"
"2018";"Guamiranga";"";"27.803";"73";"8";"2";"67";"30";"2";"1";"2";"1";"7";"-"
"2018";"Guapirama";"";"26.862";"70";"5";"2";"30";"28";"9";"2";"3";"7";"31";"-"
"2018";"Guaporema";"";"24.958";"27";"-";"1";"22";"16";"2";"-";"-";"1";"3";"-"
"2018";"Guaraci";"";"19.423";"22";"7";"4";"74";"27";"7";"2";"6";"3";"1";"4"
"2018";"Guaraniaçu";"";"27.780";"171";"38";"18";"171";"80";"22";"16";"5";"14";"16";"5"
"2018";"Guarapuava";"";"33.913";"1.718";"258";"132";"1.964";"1.295";"422";"195";"212";"170";"348";"30"
"2018";"Guaraqueçaba";"";"14.552";"119";"4";"8";"80";"23";"2";"1";"2";"23";"51";"1"
"2018";"Guaratuba";"";"21.789";"616";"176";"49";"1.160";"453";"213";"42";"182";"246";"292";"-"
"2018";"Honório Serpa";"";"40.411";"35";"4";"1";"96";"29";"3";"2";"1";"3";"6";"-"
"2018";"Ibaiti";"";"21.791";"398";"53";"23";"391";"170";"52";"17";"166";"117";"183";"3"
"2018";"Ibema";"";"26.149";"61";"10";"4";"68";"51";"5";"7";"8";"11";"7";"-"
"2018";"Ibiporã";"";"45.236";"467";"113";"23";"681";"212";"229";"115";"123";"28";"69";"39"
"2018";"Icaraíma";"";"29.010";"98";"12";"10";"115";"78";"5";"3";"6";"9";"8";"2"
"2018";"Iguaraçu";"";"33.961";"47";"5";"3";"73";"27";"10";"5";"2";"2";"4";"5"
"2018";"Iguatu";"";"27.443";"18";"1";"1";"13";"17";"-";"-";"-";"1";"1";"-"
"2018";"Imbaú";"";"17.378";"45";"13";"10";"149";"55";"41";"8";"8";"6";"5";"15"
"2018";"Imbituva";"";"27.827";"361";"40";"19";"283";"172";"40";"13";"14";"24";"35";"3"
"2018";"Inácio Martins";"";"17.186";"47";"6";"4";"43";"32";"5";"2";"4";"14";"8";"1"
"2018";"Inajá";"";"16.170";"33";"10";"5";"41";"18";"2";"5";"4";"1";"9";"-"
"2018";"Indianópolis";"";"115.711";"58";"5";"2";"66";"39";"4";"3";"-";"-";"7";"1"
"2018";"Ipiranga";"";"33.390";"96";"14";"12";"61";"67";"5";"4";"5";"4";"32";"1"
"2018";"Iporã";"";"26.061";"105";"33";"5";"143";"74";"38";"2";"18";"8";"11";"30"
"2018";"Iracema do Oeste";"";"35.499";"21";"3";"-";"20";"10";"1";"-";"-";"1";"6";"-"
"2018";"Irati";"";"30.280";"699";"92";"31";"696";"430";"129";"37";"17";"30";"178";"5"
"2018";"Iretama";"";"25.115";"97";"11";"5";"170";"63";"16";"8";"8";"12";"26";"7"
"2018";"Itaguajé";"";"21.820";"70";"8";"1";"65";"42";"6";"3";"3";"2";"3";"2"
"2018";"Itaipulândia";"";"32.813";"108";"17";"13";"140";"70";"17";"7";"2";"5";"37";"4"
"2018";"Itambaracá";"";"24.353";"55";"4";"3";"64";"26";"19";"4";"10";"2";"14";"11"
"2018";"Itambé";"";"31.057";"52";"13";"3";"40";"38";"7";"-";"5";"3";"12";"3"
"2018";"Itapejara d'Oeste";"";"52.017";"122";"16";"11";"154";"71";"5";"25";"5";"7";"20";"1"
"2018";"Itaperuçu";"";"18.017";"202";"17";"17";"154";"123";"90";"22";"3";"10";"40";"7"
"2018";"Itaúna do Sul";"";"25.677";"38";"4";"-";"50";"26";"9";"5";"5";"3";"1";"2"
"2018";"Ivaí";"";"27.250";"112";"6";"8";"64";"75";"14";"2";"1";"5";"25";"1"
"2018";"Ivaiporã";"";"25.613";"381";"64";"19";"509";"198";"38";"33";"62";"94";"57";"5"
"2018";"Ivaté";"";"24.077";"29";"2";"8";"47";"32";"5";"2";"2";"-";"3";"1"
"2018";"Ivatuba";"";"34.523";"29";"1";"1";"53";"12";"2";"1";"2";"1";"5";"-"
"2018";"Jaboti";"";"20.628";"51";"10";"7";"36";"25";"4";"1";"1";"4";"35";"-"
"2018";"Jacarezinho";"";"34.443";"549";"160";"23";"839";"218";"105";"36";"129";"73";"301";"10"
"2018";"Jaguapitã";"";"57.910";"119";"20";"11";"163";"87";"25";"16";"22";"12";"8";"10"
"2018";"Jaguariaíva";"";"42.685";"399";"91";"25";"446";"253";"115";"42";"16";"10";"141";"11"
"2018";"Jandaia do Sul";"";"32.094";"259";"78";"17";"280";"136";"32";"36";"53";"71";"79";"3"
"2018";"Janiópolis";"";"29.463";"27";"9";"2";"71";"27";"2";"6";"3";"6";"10";"2"
"2018";"Japira";"";"20.254";"50";"11";"5";"51";"24";"6";"-";"2";"4";"66";"1"
"2018";"Japurá";"";"26.888";"62";"9";"5";"61";"41";"5";"9";"4";"7";"14";"-"
"2018";"Jardim Alegre";"";"22.021";"107";"7";"1";"167";"81";"15";"15";"5";"20";"5";"3"
"2018";"Jardim Olinda";"";"31.377";"13";"1";"-";"23";"6";"4";"-";"-";"1";"1";"1"
"2018";"Jataizinho";"";"15.245";"70";"10";"4";"121";"75";"41";"12";"32";"6";"11";"13"
"2018";"Jesuítas";"";"40.574";"61";"19";"4";"116";"38";"7";"14";"7";"2";"28";"5"
"2018";"Joaquim Távora";"";"49.770";"176";"14";"5";"190";"70";"13";"14";"8";"22";"171";"7"
"2018";"Jundiaí do Sul";"";"22.476";"30";"3";"3";"34";"15";"6";"-";"2";"4";"10";"1"
"2018";"Juranda";"";"45.870";"91";"13";"3";"89";"52";"12";"6";"5";"4";"14";"2"
"2018";"Jussara";"";"32.150";"60";"9";"4";"68";"49";"8";"2";"10";"5";"8";"2"
"2018";"Kaloré";"";"27.260";"49";"4";"-";"27";"21";"6";"-";"1";"9";"5";"2"
"2018";"Lapa";"";"34.291";"410";"103";"32";"550";"145";"124";"43";"49";"65";"76";"10"
"2018";"Laranjal";"";"13.928";"65";"5";"6";"72";"38";"1";"5";"2";"1";"6";"-"
"2018";"Laranjeiras do Sul";"";"24.175";"359";"71";"26";"385";"196";"44";"18";"32";"23";"58";"3"
"2018";"Leópolis";"";"37.763";"53";"4";"5";"38";"23";"4";"-";"2";"3";"23";"1"
"2018";"Lidianópolis";"";"24.880";"28";"3";"1";"26";"19";"5";"4";"1";"1";"7";"-"
"2018";"Lindoeste";"";"34.337";"27";"10";"6";"51";"19";"4";"1";"10";"13";"4";"2"
"2018";"Loanda";"";"25.049";"210";"50";"7";"370";"152";"79";"36";"33";"35";"29";"14"
"2018";"Lobato";"";"38.827";"54";"5";"1";"77";"34";"5";"6";"3";"1";"10";"-"
"2018";"Londrina";"";"35.382";"5.067";"2.024";"260";"10.063";"2.469";"3.852";"1.495";"687";"417";"950";"628"
"2018";"Luiziana";"";"45.024";"59";"4";"6";"157";"57";"13";"9";"1";"-";"5";"2"
"2018";"Lunardelli";"";"18.306";"51";"5";"8";"53";"33";"9";"3";"2";"4";"3";"2"
"2018";"Lupionópolis";"";"20.925";"41";"17";"4";"47";"20";"3";"3";"6";"1";"9";"2"
"2018";"Mallet";"";"52.248";"124";"30";"4";"119";"81";"6";"9";"7";"11";"54";"-"
"2018";"Mamborê";"";"41.063";"140";"9";"17";"126";"124";"11";"11";"13";"22";"21";"6"
"2018";"Mandaguaçu";"";"24.762";"126";"55";"13";"293";"125";"65";"18";"18";"11";"25";"19"
"2018";"Mandaguari";"";"45.663";"311";"143";"11";"631";"216";"60";"43";"65";"36";"48";"3"
"2018";"Mandirituba";"";"23.214";"212";"37";"18";"313";"137";"89";"14";"9";"14";"22";"24"
"2018";"Manfrinópolis";"";"19.930";"26";"6";"2";"25";"19";"1";"2";"2";"1";"5";"-"
"2018";"Mangueirinha";"";"80.181";"224";"89";"14";"362";"143";"24";"32";"8";"10";"25";"16"
"2018";"Manoel Ribas";"";"28.109";"122";"13";"15";"158";"59";"12";"11";"12";"21";"32";"3"
"2018";"Marechal Cândido Rondon";"";"44.734";"504";"94";"27";"757";"369";"91";"103";"45";"49";"152";"37"
"2018";"Maria Helena";"";"18.991";"28";"2";"3";"38";"17";"5";"2";"9";"-";"10";"2"
"2018";"Marialva";"";"42.116";"362";"140";"30";"486";"229";"66";"43";"48";"30";"111";"12"
"2018";"Marilândia do Sul";"";"37.611";"67";"5";"1";"132";"49";"12";"7";"2";"6";"2";"4"
"2018";"Marilena";"";"19.342";"80";"8";"3";"108";"55";"12";"9";"1";"10";"5";"2"
"2018";"Mariluz";"";"22.239";"66";"3";"3";"63";"43";"21";"2";"9";"7";"9";"3"
"2018";"Maringá";"";"44.441";"3.138";"1.566";"222";"6.955";"2.016";"1.528";"742";"464";"244";"626";"150"
"2018";"Mariópolis";"";"42.681";"118";"10";"3";"80";"44";"6";"10";"5";"7";"19";"1"
"2018";"Maripá";"";"62.615";"30";"9";"1";"53";"16";"3";"7";"1";"2";"2";"4"
"2018";"Marmeleiro";"";"31.572";"239";"32";"27";"145";"101";"10";"4";"10";"12";"50";"3"
"2018";"Marquinho";"";"19.146";"24";"5";"5";"24";"10";"1";"1";"-";"1";"5";"-"
"2018";"Marumbi";"";"16.218";"53";"7";"3";"62";"30";"3";"9";"12";"3";"14";"-"
"2018";"Matelândia";"";"51.478";"163";"32";"11";"181";"112";"23";"20";"29";"38";"49";"13"
"2018";"Matinhos";"";"22.285";"719";"142";"37";"1.147";"380";"297";"45";"81";"376";"266";"5"
"2018";"Mato Rico";"";"24.217";"5";"-";"2";"15";"11";"-";"-";"-";"1";"-";"-"
"2018";"Mauá da Serra";"";"28.380";"46";"11";"9";"147";"59";"56";"10";"9";"8";"6";"9"
"2018";"Medianeira";"";"42.116";"566";"96";"39";"608";"354";"111";"91";"33";"116";"107";"48"
"2018";"Mercedes";"";"39.391";"37";"3";"3";"45";"21";"4";"2";"2";"1";"12";"3"
"2018";"Mirador";"";"45.871";"24";"-";"4";"49";"14";"4";"-";"-";"1";"5";"-"
"2018";"Miraselva";"";"21.295";"19";"3";"3";"29";"12";"1";"1";"1";"2";"4";"1"
"2018";"Missal";"";"32.447";"77";"17";"4";"123";"35";"41";"13";"2";"6";"13";"16"
"2018";"Moreira Sales";"";"25.426";"43";"11";"9";"157";"48";"26";"16";"2";"5";"2";"3"
"2018";"Morretes";"";"20.422";"264";"58";"10";"423";"174";"40";"11";"22";"56";"113";"5"
"2018";"Munhoz de Melo";"";"24.148";"24";"7";"1";"32";"17";"3";"2";"3";"2";"2";"-"
"2018";"Nossa Senhora das Graças";"";"17.625";"38";"2";"2";"35";"17";"2";"1";"4";"3";"2";"2"
"2018";"Nova Aliança do Ivaí";"";"27.477";"16";"-";"-";"18";"11";"3";"2";"-";"-";"5";"1"
"2018";"Nova América da Colina";"";"21.432";"9";"3";"4";"31";"19";"3";"2";"1";"9";"10";"1"
"2018";"Nova Aurora";"";"58.757";"91";"12";"5";"101";"58";"8";"7";"6";"4";"17";"1"
"2018";"Nova Cantu";"";"36.110";"60";"6";"7";"43";"25";"2";"2";"1";"1";"9";"-"
"2018";"Nova Esperança";"";"26.155";"305";"63";"19";"459";"173";"105";"37";"19";"19";"54";"18"
"2018";"Nova Esperança do Sudoeste";"";"21.290";"49";"3";"2";"58";"29";"1";"14";"-";"1";"7";"-"
"2018";"Nova Fátima";"";"30.299";"63";"3";"3";"59";"37";"3";"4";"24";"17";"16";"-"
"2018";"Nova Laranjeiras";"";"17.539";"51";"7";"7";"56";"32";"2";"3";"-";"2";"3";"-"
"2018";"Nova Londrina";"";"24.026";"146";"39";"10";"207";"58";"31";"17";"11";"22";"38";"6"
"2018";"Nova Olímpia";"";"14.263";"80";"9";"3";"95";"29";"8";"13";"5";"4";"14";"-"
"2018";"Nova Prata do Iguaçu";"";"31.076";"154";"14";"12";"121";"103";"4";"19";"8";"8";"16";"2"
"2018";"Nova Santa Bárbara";"";"19.667";"38";"5";"1";"32";"15";"1";"3";"1";"9";"16";"-"
"2018";"Nova Santa Rosa";"";"40.036";"63";"8";"4";"39";"45";"1";"5";"1";"4";"12";"1"
"2018";"Nova Tebas";"";"22.562";"49";"5";"6";"78";"32";"10";"4";"-";"1";"10";"6"
"2018";"Novo Itacolomi";"";"23.295";"19";"5";"-";"20";"11";"5";"2";"-";"2";"10";"4"
"2018";"Ortigueira";"";"97.506";"154";"18";"13";"256";"102";"120";"19";"12";"9";"3";"55"
"2018";"Ourizona";"";"31.022";"22";"5";"2";"33";"13";"2";"-";"1";"-";"3";"2"
"2018";"Ouro Verde do Oeste";"";"29.576";"41";"5";"6";"52";"17";"-";"4";"3";"1";"13";"-"
"2018";"Paiçandu";"";"20.509";"317";"60";"25";"566";"218";"100";"39";"31";"11";"38";"7"
"2018";"Palmas";"";"23.590";"763";"69";"37";"1.026";"548";"174";"128";"54";"79";"198";"19"
"2018";"Palmeira";"";"42.391";"298";"63";"21";"278";"205";"72";"19";"12";"46";"80";"31"
"2018";"Palmital";"";"18.982";"228";"20";"16";"225";"94";"36";"10";"9";"15";"25";"5"
"2018";"Palotina";"";"69.645";"298";"106";"30";"347";"161";"79";"44";"36";"63";"80";"48"
